"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CALR",1.30547889590204e-07,0.535056644781443,1,1,0.00156422481306983,"CAOV3","CALR"
"CD2AP",1.78356258065316e-07,0.568749291400019,1,1,0.00213706468413861,"CAOV3","CD2AP"
"RBM47",3.55728130579975e-07,0.524588372736861,1,1,0.00426233446060926,"CAOV3","RBM47"
"TAP1",7.51642794871786e-07,0.578506170008874,1,1,0.00900618396815374,"CAOV3","TAP1"
"SCP2",8.39454561804878e-07,0.495731129784349,1,1,0.010058344559546,"CAOV3","SCP2"
"TAP2",8.70861465061984e-07,0.612997563710029,1,1,0.0104346620743727,"CAOV3","TAP2"
"ERO1A",1.0081841989586e-06,0.577483568651086,1,1,0.0120800630719219,"CAOV3","ERO1A"
"RTP4",1.0081841989586e-06,0.972295686431353,1,1,0.0120800630719219,"CAOV3","RTP4"
"CTTN",1.04564296956151e-06,0.430205525818909,1,1,0.012528894061286,"CAOV3","CTTN"
"GIPC1",1.04564296956151e-06,0.537679077709581,1,1,0.012528894061286,"CAOV3","GIPC1"
"IGFBP5",1.084439413713e-06,-0.536727055902329,1,1,0.0129937530551091,"CAOV3","IGFBP5"
"SLC34A2",1.67254834358016e-06,0.809484108005154,1,1,0.0200404742527775,"CAOV3","SLC34A2"
"TRPM4",1.73348104076143e-06,0.724917460625894,1,1,0.0207705698304034,"CAOV3","TRPM4"
"CLINT1",2.071555923375e-06,0.394660895258211,1,1,0.0248213830738793,"CAOV3","CLINT1"
"SGMS1",2.30390017756367e-06,0.963633917106768,1,1,0.0276053319275679,"CAOV3","SGMS1"
"GSTK1",2.74774389493229e-06,0.49466769283891,1,1,0.0329234673490787,"CAOV3","GSTK1"
"HSPA5",2.74774389493229e-06,0.405526453793725,1,1,0.0329234673490787,"CAOV3","HSPA5"
"MYO6",2.74774389493229e-06,0.439442049938378,1,1,0.0329234673490787,"CAOV3","MYO6"
"SQOR",2.74774389493229e-06,0.627633133850377,1,1,0.0329234673490787,"CAOV3","SQOR"
"MDH2",2.84586259999369e-06,0.506498319065047,1,1,0.0340991256731244,"CAOV3","MDH2"
"LRRFIP1",3.27301927035113e-06,0.371744711885931,1,1,0.0392173168973473,"CAOV3","LRRFIP1"
"VAMP8",3.27301927035113e-06,0.477179256266319,1,1,0.0392173168973473,"CAOV3","VAMP8"
"RABGGTB",3.50902340102708e-06,0.516315117124449,1,1,0.0420451183911065,"CAOV3","RABGGTB"
"RAB25",3.89386459795438e-06,0.843928804386317,1,1,0.0466562856126894,"CAOV3","RAB25"
"PDIA6",4.31897917989554e-06,0.58268024802675,1,1,0.0517500085335084,"CAOV3","PDIA6"
"HM13",4.62672153377074e-06,0.485305374403819,1,1,0.055437377417641,"CAOV3","HM13"
"PALM3",4.62672153377074e-06,0.942751456035111,1,1,0.055437377417641,"CAOV3","PALM3"
"VTCN1",4.78836354688089e-06,1.03157460445072,1,1,0.0573741720187269,"CAOV3","VTCN1"
"LIMS2",5.49068304998615e-06,-0.808436107534513,1,1,0.0657893643049341,"CAOV3","LIMS2"
"FAM120A",5.8778240210851e-06,0.27098236507399,1,1,0.0704280874206417,"CAOV3","FAM120A"
"CCDC47",6.50788926191798e-06,0.430155709079284,1,1,0.0779775291363012,"CAOV3","CCDC47"
"ZMPSTE24",6.7319088395819e-06,0.394602753094609,1,1,0.0806617317158703,"CAOV3","ZMPSTE24"
"DNAJB1",7.20227506919138e-06,0.397779559811104,1,1,0.0862976598790511,"CAOV3","DNAJB1"
"HOOK1",7.44908815737197e-06,0.523464831922517,1,1,0.089254974301631,"CAOV3","HOOK1"
"ARFGAP2",7.7039769488838e-06,0.372744072189098,1,1,0.0923090518015257,"CAOV3","ARFGAP2"
"CNNM4",7.7039769488838e-06,0.44217689228348,1,1,0.0923090518015257,"CAOV3","CNNM4"
