Pathway,ID,Status,CellLine,Genes,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPS14 DN.V1 DN,Neg,BENIGN,KURAM,COLEC11,COLEC11,0.00295402609400032,-0.539005537872603,1,1,1
RPS14 DN.V1 DN,Neg,BENIGN,KURAM,CD320,CD320,0.00398928664472032,-0.321442129101044,1,1,1
RB DN.V1 DN,Neg,BENIGN,KURAM,CD9,CD9.1,0.0062251449542854,-0.439335916674275,1,1,1
RB DN.V1 DN,Neg,BENIGN,KURAM,FURIN,FURIN,0.00988318003427584,-0.755612136289268,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,BENIGN,KURAM,FAP,FAP,1.18229363567188e-5,0.680762369991947,1,1,0.141662423426204
ESC V6.5 UP EARLY.V1 DN,Pos,BENIGN,KURAM,FHL2,FHL2,1.5913650759413e-4,0.40221743601946,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,BENIGN,KURAM,CDC42EP1,CDC42EP1,1.11726598762808e-4,0.312358498399428,1,1,1
P53 DN.V1 UP,Pos,BENIGN,KURAM,CDH11,CDH11,3.7666275391796e-6,0.489098424856139,1,1,0.04513173117445
P53 DN.V1 UP,Pos,BENIGN,KURAM,FHL2,FHL2,1.5913650759413e-4,0.40221743601946,1,1,1
P53 DN.V1 UP,Pos,BENIGN,KURAM,CNN3,CNN3,7.89283676038034e-6,0.554825378707608,1,1,0.0945719700628772
E2F1 UP.V1 DN,Pos,BENIGN,KURAM,LIMA1,LIMA1,3.23175171539503e-5,0.303725001751596,1,1,0.387228490538632
E2F1 UP.V1 DN,Pos,BENIGN,KURAM,VCAN,VCAN,7.99695767445602e-7,0.830070694304534,1,1,0.00958195468553321
E2F1 UP.V1 DN,Pos,BENIGN,KURAM,SEC23A,SEC23A,1.44305154544476e-5,0.258513851659077,1,1,0.172906436175191
E2F1 UP.V1 DN,Pos,BENIGN,KURAM,LXN,LXN,7.23127051200623e-6,0.474081423902341,1,1,0.0866450832748586
E2F1 UP.V1 DN,Pos,BENIGN,KURAM,RUNX2,RUNX2,1.20597440909153e-4,0.433460998776393,1,1,1
RB DN.V1 DN,Pos,BENIGN,KURAM,SEC23A,SEC23A,1.44305154544476e-5,0.258513851659077,1,1,0.172906436175191
RB DN.V1 DN,Pos,BENIGN,KURAM,MICAL2,MICAL2,1.5913650759413e-4,0.367705370579204,1,1,1
STK33 SKM DN,Pos,BENIGN,KURAM,FBLIM1,FBLIM1,8.63990439792554e-5,0.310339259153632,1,1,1
STK33 SKM DN,Pos,BENIGN,KURAM,UAP1L1,UAP1L1,1.55203516518666e-4,0.317800842259664,1,1,1
STK33 SKM DN,Pos,BENIGN,KURAM,GPX7,GPX7,2.81860858943748e-5,0.569898579102236,1,1,0.337725681186399
STK33 SKM DN,Pos,BENIGN,KURAM,SH3D19,SH3D19,1.25180494851841e-5,0.440732993930164,1,1,0.149991268931476
ESC J1 UP LATE.V1 UP,Pos,BENIGN,KURAM,LXN,LXN,7.23127051200623e-6,0.474081423902341,1,1,0.0866450832748586
ESC J1 UP LATE.V1 UP,Pos,BENIGN,KURAM,FHL2,FHL2,1.5913650759413e-4,0.40221743601946,1,1,1
ESC J1 UP LATE.V1 UP,Pos,BENIGN,KURAM,CDC42EP1,CDC42EP1,1.11726598762808e-4,0.312358498399428,1,1,1
ESC J1 UP LATE.V1 UP,Pos,BENIGN,KURAM,TAX1BP3,TAX1BP3,1.94151120684646e-4,0.217693159439915,1,1,1
CAMP UP.V1 DN,Pos,BENIGN,KURAM,PHLDB1,PHLDB1.1,2.07935103620222e-5,0.286310604563307,1,1,0.249147841157749
CAMP UP.V1 DN,Pos,BENIGN,KURAM,RAB31,RAB31,2.89699450154671e-5,0.400364660745208,1,1,0.347117881175327
CAMP UP.V1 DN,Pos,BENIGN,KURAM,PALLD,PALLD,7.20112631506213e-5,0.534043305266529,1,1,0.862838955070745
CAMP UP.V1 DN,Pos,BENIGN,KURAM,DPYSL3,DPYSL3,8.52368468907826e-7,0.492820770408849,1,1,0.0102130789944536
CAMP UP.V1 DN,Pos,BENIGN,KURAM,PLS3,PLS3,3.23951062937713e-6,0.575760377263977,1,1,0.0388158163611968
CAMP UP.V1 DN,Pos,BENIGN,KURAM,MYH10,MYH10,5.88758814825821e-6,0.413302363966327,1,1,0.0705450811924299
CAMP UP.V1 DN,Pos,BENIGN,KURAM,MAP4K4,MAP4K4,4.3521769277174e-5,0.220162301606432,1,1,0.521477839479099
SNF5 DN.V1 DN,Pos,BENIGN,KURAM,NNMT,NNMT,8.36561317466062e-6,0.708280033972661,1,1,0.100236777058784
SNF5 DN.V1 DN,Pos,BENIGN,KURAM,FBLIM1,FBLIM1,8.63990439792554e-5,0.310339259153632,1,1,1
SNF5 DN.V1 DN,Pos,BENIGN,KURAM,PDLIM5,PDLIM5,2.09237268080228e-7,0.558192881739107,1,1,0.00250708094613729
RB P130 DN.V1 DN,Neg,NO_BENIGN,KURAM,DSP,DSP,0.00970626851102601,-0.370168487854006,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,ACTA1,ACTA1.1,0.00216975102350098,0.828272422557293,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,TAGLN,TAGLN.1,0.00158077816077109,0.348109925646053,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,LOX,LOX.1,0.00114231784949599,0.232005022935538,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,CALD1,CALD1,4.61485979294646e-4,0.474075441307868,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,SERPINF1,SERPINF1.1,0.00347089841232749,0.341073829053763,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,TGFB1I1,TGFB1I1.1,0.00854494605342043,0.184526348356032,1,1,1
ESC V6.5 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,TIMP2,TIMP2,0.00423223350655965,0.309428535780931,1,1,1
E2F1 UP.V1 DN,Pos,NO_BENIGN,KURAM,PDGFRA,PDGFRA.1,0.00295402609400032,0.198474042736858,1,1,1
E2F1 UP.V1 DN,Pos,NO_BENIGN,KURAM,VCAN,VCAN,7.99695767445602e-7,0.830070694304534,1,1,0.00958195468553321
E2F1 UP.V1 DN,Pos,NO_BENIGN,KURAM,LXN,LXN,7.23127051200623e-6,0.474081423902341,1,1,0.0866450832748586
E2F1 UP.V1 DN,Pos,NO_BENIGN,KURAM,TGFB1I1,TGFB1I1.1,0.00854494605342043,0.184526348356032,1,1,1
E2F1 UP.V1 DN,Pos,NO_BENIGN,KURAM,CYP1B1,CYP1B1,0.00076523168849242605,0.38467348807406,1,1,1
RB DN.V1 DN,Pos,NO_BENIGN,KURAM,ANXA6,ANXA6.1,0.0062251449542854,0.212849459705212,1,1,1
RB DN.V1 DN,Pos,NO_BENIGN,KURAM,FLNA,FLNA.1,4.30142639525715e-4,0.27352386989102,1,1,1
BMI1 DN.V1 UP,Pos,NO_BENIGN,KURAM,TAGLN,TAGLN.1,0.00158077816077109,0.348109925646053,1,1,1
ESC J1 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,ACTA1,ACTA1.1,0.00216975102350098,0.828272422557293,1,1,1
ESC J1 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,TAGLN,TAGLN.1,0.00158077816077109,0.348109925646053,1,1,1
ESC J1 UP EARLY.V1 DN,Pos,NO_BENIGN,KURAM,PTGIS,PTGIS.1,0.00141983319650897,0.416385514067095,1,1,1
ESC J1 UP LATE.V1 UP,Pos,NO_BENIGN,KURAM,PDGFRA,PDGFRA.1,0.00295402609400032,0.198474042736858,1,1,1
ESC J1 UP LATE.V1 UP,Pos,NO_BENIGN,KURAM,LXN,LXN,7.23127051200623e-6,0.474081423902341,1,1,0.0866450832748586
ESC J1 UP LATE.V1 UP,Pos,NO_BENIGN,KURAM,LAMB1,LAMB1.1,0.00414979934275294,0.212858750359938,1,1,1
CAMP UP.V1 DN,Pos,NO_BENIGN,KURAM,PHLDB1,PHLDB1.1,2.07935103620222e-5,0.286310604563307,1,1,0.249147841157749
CAMP UP.V1 DN,Pos,NO_BENIGN,KURAM,PALLD,PALLD,7.20112631506213e-5,0.534043305266529,1,1,0.862838955070745
CAMP UP.V1 DN,Pos,NO_BENIGN,KURAM,TIMP2,TIMP2,0.00423223350655965,0.309428535780931,1,1,1
CAMP UP.V1 DN,Pos,NO_BENIGN,KURAM,PLS3,PLS3,3.23951062937713e-6,0.575760377263977,1,1,0.0388158163611968
CAMP UP.V1 DN,Pos,NO_BENIGN,KURAM,SVEP1,SVEP1,0.0028946125762841202,0.413852884402517,1,1,1
SNF5 DN.V1 DN,Pos,NO_BENIGN,KURAM,CYP7B1,CYP7B1,0.00076523168849242605,0.331564905111386,1,1,1
SNF5 DN.V1 DN,Pos,NO_BENIGN,KURAM,PDLIM5,PDLIM5,2.09237268080228e-7,0.558192881739107,1,1,0.00250708094613729
SNF5 DN.V1 DN,Pos,NO_BENIGN,KURAM,MYLK,MYLK,0.00414979934275294,0.116339869014318,1,1,1
CSR LATE UP.V1 DN,Pos,NO_BENIGN,KURAM,SNX18,SNX18,1.70939503439185e-5,0.283614408967861,1,1,0.204819713020832
CSR LATE UP.V1 DN,Pos,NO_BENIGN,KURAM,CALD1,CALD1,4.61485979294646e-4,0.474075441307868,1,1,1
CSR LATE UP.V1 DN,Pos,NO_BENIGN,KURAM,SVEP1,SVEP1,0.0028946125762841202,0.413852884402517,1,1,1
CSR LATE UP.V1 DN,Pos,NO_BENIGN,KURAM,PRKG1,PRKG1.1,4.40362583152729e-4,0.350062249165184,1,1,1
CYCLIN D1 UP.V1 DN,Pos,NO_BENIGN,KURAM,TPM2,TPM2.1,5.0659845794314e-4,0.955253677198503,1,1,1
CYCLIN D1 UP.V1 DN,Pos,NO_BENIGN,KURAM,LAMB1,LAMB1.1,0.00414979934275294,0.212858750359938,1,1,1
EGFR UP.V1 UP,Pos,NO_BENIGN,KURAM,CYP1B1,CYP1B1,0.00076523168849242605,0.38467348807406,1,1,1
EGFR UP.V1 UP,Pos,NO_BENIGN,KURAM,ACTG2,ACTG2.1,0.00111751941301803,0.305926921731756,1,1,1
EGFR UP.V1 UP,Pos,NO_BENIGN,KURAM,FERMT2,FERMT2.1,0.00765014767269102,0.180410793714189,1,1,1
EGFR UP.V1 UP,Pos,NO_BENIGN,KURAM,PDLIM7,PDLIM7.1,0.00266770771329907,0.272892839068588,1,1,1
CYCLIN D1 KE .V1 UP,Neg,NO_BENIGN,CAOV3,SMTN,SMTN,2.80694848192448e-4,-1.11125289454981,1,1,1
CYCLIN D1 KE .V1 UP,Neg,NO_BENIGN,CAOV3,DTNA,DTNA,8.88958426805849e-4,-0.525416730834196,1,1,1
CYCLIN D1 KE .V1 UP,Neg,NO_BENIGN,CAOV3,HSPG2,HSPG2,1.26229748063392e-4,-0.526696731219461,1,1,1
VEGF A UP.V1 DN,Neg,NO_BENIGN,CAOV3,CPA3,CPA3,6.36167715744004e-5,-1.9114094616874,1,1,0.762256157004466
VEGF A UP.V1 DN,Neg,NO_BENIGN,CAOV3,CACNA2D1,CACNA2D1,2.50999447793719e-4,-0.509087403439828,1,1,1
VEGF A UP.V1 DN,Neg,NO_BENIGN,CAOV3,PRKACB,PRKACB,0.00356944310662046,-0.117100229050543,1,1,1
VEGF A UP.V1 DN,Neg,NO_BENIGN,CAOV3,MEST,MEST,3.65416486754828e-5,-0.430613129333958,1,1,0.437842034429635
MEK UP.V1 UP,Neg,NO_BENIGN,CAOV3,FHL1,FHL1,7.18022105692334e-5,-1.71453362097035,1,1,0.860334087040554
MEK UP.V1 UP,Neg,NO_BENIGN,CAOV3,LAMC1,LAMC1,2.58133887515309e-4,-0.594954189565807,1,1,1
MEK UP.V1 UP,Neg,NO_BENIGN,CAOV3,ENO2,ENO2,0.00625222975853795,-0.432600403453389,1,1,1
MEK UP.V1 UP,Neg,NO_BENIGN,CAOV3,LOXL1,LOXL1,0.00289593645936526,-0.189937967845013,1,1,1
RAF UP.V1 UP,Neg,NO_BENIGN,CAOV3,PRPS1,PRPS1,0.00170881742512774,-0.212553864267603,1,1,1
RAF UP.V1 UP,Neg,NO_BENIGN,CAOV3,PARVA,PARVA,7.6097027856223e-4,-0.362388470110062,1,1,1
RAF UP.V1 UP,Neg,NO_BENIGN,CAOV3,LAMC1,LAMC1,2.58133887515309e-4,-0.594954189565807,1,1,1
RAF UP.V1 UP,Neg,NO_BENIGN,CAOV3,MAPRE2,MAPRE2,8.59698441014857e-5,-0.242426109526475,1,1,1
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,GSTM2,GSTM2,0.00143773792260348,-0.650118754246207,1,1,1
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,COL16A1,COL16A1,4.01528749885045e-4,-0.533061639248212,1,1,1
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,COL6A2,COL6A2,2.75292117406489e-5,-0.678226118591594,1,1,0.329855015076455
